CountyFIPS,PhotoCounts,,CountyFIPS,Contributors
39003,135,,39003,32
39145,126,,39145,42
39031,201,,39031,37
39095,1648,,39095,294
39001,144,,39001,40
39061,5629,,39061,754
39065,139,,39065,21
39107,171,,39107,30
39013,179,,39013,64
21057,35,,21057,8
39113,2528,,39113,300
21115,140,,21115,16
21123,157,,21123,40
21231,45,,21231,19
21003,33,,21003,12
21005,82,,21005,22
21045,70,,21045,28
39167,368,,39167,68
21119,65,,21119,10
39169,515,,39169,74
21043,105,,21043,31
39137,119,,39137,26
21013,393,,21013,50
21007,88,,21007,23
39027,174,,39027,43
21075,83,,21075,18
39049,5526,,39049,859
21185,121,,21185,42
21097,29,,21097,11
21011,75,,21011,24
39139,1163,,39139,96
39171,183,,39171,32
21237,296,,21237,55
21109,15,,21109,11
39099,874,,39099,135
21041,45,,21041,23
39035,7185,,39035,1078
39123,1376,,39123,239
21031,63,,21031,13
39079,248,,39079,18
21033,50,,21033,14
39017,1382,,39017,194
39057,745,,39057,143
39119,355,,39119,82
39075,903,,39075,74
39045,332,,39045,88
21059,189,,21059,38
21219,79,,21219,26
21225,111,,21225,15
39037,144,,39037,31
21079,32,,21079,21
39069,152,,39069,25
21083,83,,21083,18
21029,199,,21029,53
21049,39,,21049,17
39011,186,,39011,45
13133,125,,13133,35
39059,132,,39059,46
39109,514,,39109,56
13235,30,,13235,12
21023,53,,21023,20
39009,358,,39009,97
39097,153,,39097,35
13073,314,,13073,81
39155,262,,39155,89
21053,22,,21053,14
21165,137,,21165,34
21073,450,,21073,103
21025,5,,21025,4
21223,31,,21223,15
21069,66,,21069,12
13213,868,,13213,81
39091,137,,39091,47
39077,381,,39077,55
39093,1116,,39093,180
21095,226,,21095,47
13125,7,,13125,2
21213,89,,21213,28
21015,380,,21015,125
21051,85,,21051,10
39055,282,,39055,91
21027,44,,21027,16
39111,39,,39111,23
13083,225,,13083,81
39159,150,,39159,42
21063,25,,21063,4
21001,20,,21001,10
13095,201,,13095,38
21037,502,,21037,155
21065,23,,21065,12
13031,173,,13031,33
39067,84,,39067,24
13283,9,,13283,4
39131,47,,39131,24
21009,308,,21009,56
39173,418,,39173,97
13193,259,,13193,46
13253,51,,13253,13
21019,175,,21019,42
21035,197,,21035,24
39081,196,,39081,53
21147,204,,21147,70
13233,59,,13233,30
21039,51,,21039,9
13025,34,,13025,8
13291,417,,13291,157
39161,118,,39161,23
13173,88,,13173,12
39175,78,,39175,23
13113,265,,13113,74
